product,amount
BUTTER FOIL,0
BUTTER PC,2955
BUTTER PC (Smart Balance),1100
CHEDDAR SHARP PC,0
CHEESE AMERICAN SLICED,36
CHEESE BELGIOIOSO PARMESAN,0.68
CHEESE BLUE,88.8
CHEESE BRIE,6.54
CHEESE CHEDDAR MILD,0
CHEESE CHEDDAR MILD MINI PC,1200
CHEESE CHEDDAR SHARP,10
CHEESE CHEDDAR SHREDDED,20
CHEESE CHEDDER SLICE,4
CHEESE CREAM,3
CHEESE DANISH (NETJET),0
CHEESE FETA,45
CHEESE GOAT,4.92
CHEESE GOUDA LITE,1.02
CHEESE HAVARTI,0
CHEESE MOZZARELLA,0.48
CHEESE MOZZARELLA SHREDDED,35
CHEESE PARMESAN SHREDDED,20
CHEESE PEPPER JACK,0
CHEESE RICOTTA ,1
CHEESE SWISS SLICED .75OZ,4
CHEESE WHEEL BLUE ( ROSE & CROWN),0
CREAM HEAVY,7
CREAM SOUR,2
DRESSING BAL. VINEGARETTE PC,0
DRESSING CAESAR,0
DRESSING CAESAR CREAMY PC,0
DRESSING CAESAR GAL,0
DRESSING GLUTEN FREE PC,0
DRESSING HONEY MUSTARD DIJON GAL.,1.5
DRESSING ITALIAN ,4.5
DRESSING POMEGRANATE PC,1080
DRESSING RANCH GAL,0
DRESSING VINEGAR BALSAMIC GAL,8.25
EGG,240
EGG LIQUID,0
FLAN CARAMEL 16 OZ,0
GUACAMOLE,2
HUMUS,2
JELLY GRAPE,0
JUICE ORANGE 14OZ TROPICANA,50
JUICE ORANGE PT,0
LAUGHING COW CHEESE,0
MARGARINE SOLID ALL VEG,335
MARGARINE ZERO,0
MILK 1 PINT 2%,16
MILK 1/2 PT,15
MILK HALF & HALF 1 PT,2
MILK HALF & HALF NON DAIRY CREAMER,0
MILK HALF & HALF PC,360
MILK HERSHEY,0
MILK WHOLE 1/2 GL,0
MILK WHOLE 1PT,0
MILK WHOLE GAL,0
MOZZARELLA FRESH,3.3
OLIVES KALAMATA,0
PLAIN YOGURT,8
PUDDING RICE,2
SLICED CHEESE (Provolone),0
SUNDRIED TOMATO,15
YOGURT,217
YOGURT GREEK,0
